ID_ENTIDAD,ID_MUNICIPIO,ANIO,MES,ID_HORA,ID_MINUTO,ID_DIA,DIASEMANA,URBANA,SUBURBANA,TIPACCID,CAUSAACCI,CLASACC
15,20,2018,1,18,10,25,Jueves,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,20,2018,1,5,25,28,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,20,2018,1,9,30,29,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,24,2018,1,15,0,2,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con peatón (atropellamiento),Conductor,No fatal
15,24,2018,1,10,0,6,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,No fatal
15,24,2018,1,9,0,10,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,24,2018,1,12,4,10,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,24,2018,1,16,50,14,Domingo,Accidente en intersección,Sin accidente en esta zona,Volcadura,Conductor,Sólo daños
15,24,2018,1,9,35,16,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,24,2018,1,19,21,18,Jueves,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,24,2018,1,16,23,22,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,24,2018,1,23,0,24,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,24,2018,1,12,45,26,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,24,2018,1,2,35,26,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,24,2018,1,6,21,26,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con peatón (atropellamiento),Conductor,No fatal
15,24,2018,1,17,50,28,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con peatón (atropellamiento),Conductor,No fatal
15,24,2018,1,1,10,5,Viernes,Accidente en intersección,Sin accidente en esta zona,Volcadura,Conductor,No fatal
15,24,2018,1,1,20,5,Viernes,Accidente en intersección,Sin accidente en esta zona,Volcadura,Conductor,No fatal
15,24,2018,1,13,30,9,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con peatón (atropellamiento),Conductor,No fatal
15,24,2018,1,20,0,11,Jueves,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,24,2018,1,11,35,17,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,24,2018,1,20,45,17,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,24,2018,1,21,55,17,Miércoles,Accidente en intersección,Sin accidente en esta zona,Volcadura,Conductor,Sólo daños
15,24,2018,1,11,40,23,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,24,2018,1,17,30,23,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
